cum_ret,short,long,short1,long2,lg-sh,lg2-sh2
3.469304570909460,2,10,110,325,8,215
3.4690920655059100,2,10,140,450,8,310
3.4673529203869200,2,10,80,175,8,95
3.4637675009750600,2,10,150,450,8,300
3.460091718845980,2,10,180,375,8,195
3.4596913050148600,2,10,130,150,8,20
3.4586800209213100,2,10,190,300,8,110
3.4451838849521800,2,10,200,425,8,225
3.443687786931990,2,10,140,350,8,210
3.440851423872940,2,10,110,425,8,315
3.4406054875514300,2,10,100,150,8,50
3.434938194018950,2,10,200,350,8,150
3.4345810896576300,2,10,130,350,8,220
3.422019960262090,2,10,150,425,8,275
3.4136516701589700,2,10,180,250,8,70
3.403645289009330,2,10,140,375,8,235
3.3994089006448200,2,10,120,350,8,230
3.396317818353000,2,10,110,400,8,290
3.394016235553260,2,10,110,350,8,240
3.3939822954794200,2,10,150,475,8,325
3.361203521149140,2,10,90,200,8,110
3.3471935860692800,2,10,190,400,8,210
3.33985396437434,2,10,90,175,8,85
3.306213991502600,2,10,140,175,8,35
3.270483164970630,2,10,70,150,8,80
3.2563491652129600,2,10,130,300,8,170
3.2419873299931500,2,10,110,150,8,40
3.2214007191049200,2,10,140,475,8,335
3.216868027059200,2,10,190,375,8,185
3.211352124963830,2,10,110,375,8,265
3.1927145079289900,2,10,160,450,8,290
3.1781329720071500,2,10,200,375,8,175
3.1752993785678900,2,10,170,275,8,105
3.1749341587381800,2,10,200,275,8,75
3.1678137348058300,2,10,100,175,8,75
3.1620097119179400,2,10,120,375,8,255
3.161539735656310,2,10,180,275,8,95
3.1401798269126300,2,10,150,175,8,25
3.131978758208640,2,10,120,175,8,55
3.1252268683457700,2,10,120,300,8,180
3.05648893332973,2,10,130,325,8,195
3.044550125019330,2,10,120,325,8,205
3.0393057940676400,2,10,150,375,8,225
3.0048569350741100,2,10,140,325,8,185
2.9216579864863100,2,10,60,100,8,40
2.896550829009590,2,10,190,250,8,60
2.827219376463970,2,10,190,275,8,85
2.7876314009645500,2,10,90,100,8,10
2.7853830194458100,2,10,80,150,8,70
2.7741120695228600,2,10,90,150,8,60
2.6262629106529000,2,10,60,125,8,65
2.600538051974680,2,10,70,125,8,55
2.5562968641488900,2,10,130,175,8,45
2.5463638362054600,2,10,90,125,8,35
2.538828253824760,2,10,200,250,8,50
2.4389831864317200,2,10,70,100,8,30
2.4011685574919200,2,10,110,125,8,15
2.303399194289550,2,10,140,150,8,10
2.199367236472310,2,10,100,125,8,25
2.1310855194538600,2,10,80,125,8,45
1.7683359619368600,2,10,80,100,8,20
1.494257499309700,2,10,120,125,8,5
-1.6506316353136400,76,85,200,500,9,300
-1.6627020020673000,96,105,200,500,9,300
-1.6752752407371300,96,105,190,500,9,310
-1.6800846133339600,96,105,180,500,9,320
-1.6805905673450800,96,105,200,475,9,275
-1.687374753155610,96,105,190,475,9,285
-1.6876221452212700,76,85,190,500,9,310
-1.6894631457393800,76,85,200,475,9,275
-1.6933758847931200,76,85,190,475,9,285
-1.693390638665970,86,95,200,500,9,300
-1.6967780164825600,96,105,160,500,9,340
-1.6969054308815700,96,105,120,450,9,330
-1.697979990099820,86,95,190,475,9,285
-1.6991934962111400,96,105,90,500,9,410
-1.7019689090248600,76,85,120,450,9,330
-1.7034313609294100,96,105,200,450,9,250
-1.7034743491091600,76,85,180,500,9,320
-1.704170577674740,96,105,100,500,9,400
-1.7052094664664800,86,95,200,475,9,275
-1.7065833908688900,96,105,170,500,9,330
-1.7097575814774300,96,105,180,475,9,295
-1.7097759435879300,76,85,160,500,9,340
-1.70993438527203,86,95,190,500,9,310
-1.7114553904945300,96,105,150,500,9,350
-1.712636375137870,96,105,120,500,9,380
-1.712663272263450,76,85,90,500,9,410
-1.7127523464286400,96,105,170,350,9,180
-1.713844850706610,76,85,100,500,9,400
-1.7149594648532000,76,85,170,500,9,330
-1.7151646319702600,96,105,90,475,9,385
-1.7156311420216100,96,105,160,425,9,265
-1.7168949169898400,96,105,190,450,9,260
-1.7186838210533400,96,105,170,475,9,305
-1.7186925173124300,86,95,180,500,9,320
-1.7188581208149900,96,105,140,500,9,360
-1.7206065190147800,76,85,200,450,9,250
-1.7208303074241500,76,85,150,500,9,350
-1.7221317672671300,96,105,170,400,9,230
-1.7226256194606900,96,105,160,475,9,315
-1.7226823366984500,96,105,50,375,9,325
-1.7230054403552900,76,85,90,475,9,385
-1.723103002233310,96,105,130,500,9,370
-1.7235681509295100,96,105,100,450,9,350
-1.7237101743349600,76,85,190,450,9,260
-1.725360704661420,76,85,170,400,9,230
